date,entity_id,front_back_same_user,signoff_count,audit_recommendation_ignored,fraud_label
1995-05-13,BFS_SINGAPORE,0,2,0,0
1995-05-14,BFS_SINGAPORE,0,2,0,0
1995-05-15,BFS_SINGAPORE,1,1,0,0
1995-05-16,BFS_SINGAPORE,0,2,0,0
1995-05-17,BFS_SINGAPORE,0,2,0,0
1995-05-18,BFS_SINGAPORE,0,2,0,0
1995-05-19,BFS_SINGAPORE,0,2,0,0
1995-05-20,BFS_SINGAPORE,0,2,0,0
1995-05-21,BFS_SINGAPORE,0,2,0,0
1995-05-22,BFS_SINGAPORE,0,2,0,0
